"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_09_-_Longest_Summer.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_09_-_Longest_Summer.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_08_-_Stockholm.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_08_-_Stockholm.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_07_-_Asset_House.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_07_-_Asset_House.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_06_-_Temples.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_06_-_Temples.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_05_-_Magic.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_05_-_Magic.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_04_-_Traveller.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_04_-_Traveller.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_03_-_Private_Ark.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_03_-_Private_Ark.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_02_-_Transition.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_02_-_Transition.mp3
"['Six_Umbrellas', 'Private_Ark', 'Six_Umbrellas_-_01_-_Manchester.mp3']","
Electronic, Techno, Bigbeat ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/White_Market_Podcast/Six_Umbrellas/Private_Ark/Six_Umbrellas_-_01_-_Manchester.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_19_-_Wap.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_19_-_Wap.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_16_-_Vel.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_16_-_Vel.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_08_-_Truckin.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_08_-_Truckin.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_01_-_Triangle.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_01_-_Triangle.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_12_-_Synter.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_12_-_Synter.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_09_-_Space_Echo.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_09_-_Space_Echo.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_03_-_SciFi.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_03_-_SciFi.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_20_-_Sandstone.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_20_-_Sandstone.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_06_-_Resonance.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_06_-_Resonance.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_14_-_Pylon.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_14_-_Pylon.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_07_-_Popsicle.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_07_-_Popsicle.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_13_-_Polka.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_13_-_Polka.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_18_-_Nitro.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_18_-_Nitro.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_02_-_Nasty.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_02_-_Nasty.mp3
"['Bio_UnitMetre', 'Spool', 'Bio_UnitMetre_-_10_-_Matrix.mp3']","
Electronic, Soundtrack, Ambient Electronic, Techno ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nul_Tiel_Records/Bio_UnitMetre/Spool/Bio_UnitMetre_-_10_-_Matrix.mp3
